index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,torch version,batch,train_classes,eval_classes
22,3,0.4164415935178933,0.5438892640108035,0.6618838622552329,0.7758271438217421,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,4,0.4343349088453747,0.5639770425388251,0.6868669817690749,0.7947332883187036,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,5,0.4523970290344362,0.5810263335584065,0.7052667116812964,0.8114449696151249,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,6,0.4851451721809588,0.6168129642133694,0.7346387575962188,0.8284942606347063,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,7,0.4918973666441594,0.6188386225523295,0.7400405131667792,0.8330519918973667,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,8,0.4959486833220797,0.6267724510465902,0.7523632680621202,0.8450371370695476,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,9,0.5091154625253207,0.6289669142471304,0.7491559756920999,0.8398041863605672,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,10,0.512153950033761,0.6407832545577312,0.7518568534773802,0.8433490884537475,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,11,0.5064145847400405,0.6353814989871708,0.7586090479405807,0.8487508440243079,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,12,0.5178933153274814,0.6439905469277515,0.7608035111411209,0.8507765023632681,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,13,0.5209318028359217,0.6443281566509116,0.7614787305874409,0.8541525995948683,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,14,0.5234638757596218,0.6520931802835922,0.7638419986495611,0.8538149898717083,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,0,0.4101958136394328,0.5356178257933828,0.6596893990546928,0.7805536799459825,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,1,0.41154625253207294,0.5351114112086428,0.6671168129642133,0.775489534098582,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,2,0.4193112761647536,0.5422012153950033,0.6686360567184335,0.7746455097906819,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,3,0.4296083727211344,0.5432140445644834,0.6676232275489534,0.7775151924375422,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,4,0.4297771775827144,0.5492910195813641,0.675557056043214,0.7830857528696826,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,5,0.42218095881161377,0.5420324105334233,0.6679608372721134,0.7788656313301823,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,6,0.4194800810263336,0.5411883862255233,0.6634031060094531,0.7780216070222823,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,7,0.4201553004726536,0.5454085077650236,0.6639095205941931,0.7743079000675219,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,8,0.4220121539500338,0.5536799459824443,0.6706617150573937,0.7813977042538826,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,9,0.4237002025658339,0.550303848750844,0.6728561782579339,0.7726198514517219,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,10,0.4213369345037137,0.550135043889264,0.6694800810263336,0.7759959486833221,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,11,0.4193112761647536,0.5467589466576638,0.6694800810263336,0.7687373396353815,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,12,0.4167792032410533,0.5447332883187036,0.6637407157326131,0.7732950708980418,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,13,0.4274139095205942,0.5524983119513842,0.6711681296421337,0.7766711681296421,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
24,14,0.42319378798109386,0.5452397029034436,0.6630654962862931,0.7727886563133018,,100,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,0,0.3217420661715057,0.4453072248480756,0.5803511141120864,0.7089804186360568,0.4528796023921214,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,1,0.3516205266711681,0.4797434166103984,0.6151249155975692,0.7397029034436192,0.4762032487518497,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,2,0.36309925725860903,0.48784604996623904,0.6206954760297096,0.7462862930452397,0.4891285725581844,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,3,0.3784604996623903,0.4994935854152601,0.6186698176907495,0.7403781228899392,0.5119608072201776,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,4,0.412052667116813,0.5238014854827819,0.6541188386225524,0.7694125590817016,0.5343871467390052,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,5,0.4265698852126941,0.5546927751519244,0.675894665766374,0.7895003376097232,0.5513190988505168,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,6,0.4409182984469953,0.5676907494935854,0.6863605671843349,0.8055367994598245,0.5645551417142421,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,7,0.462018906144497,0.5882849426063471,0.7061107359891965,0.8106009453072248,0.5754424149469262,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
25,8,0.4655638082376772,0.5984132343011479,0.7153950033760972,0.8151586765698852,0.5768256080110177,1,3.0,3.0,64,2,0,1.1.0,128.0,"[0, 100]","[100, 200]"
